f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,label,label_flip
3,43,68.95991,0,1,0,100,0,1,1498,0,0,1,3,1,1,0,285,285,1785,860,0,0
2,28,72.92037,0,0,0,100,0,0,12,1,1,0,1,0,1,0,293,478,562,1114,0,0
1,26,66.98809,0,0,0,100,0,0,0,0,1,0,1,0,1,0,552,446,1383,770,0,0
0,37,70.94829,0,0,0,100,0,1,951,0,0,1,2,0,0,0,376,325,1085,813,1,1
3,36,59.38079,0,0,0,90,1,1,1367,0,1,1,3,0,1,1,206,371,1299,1129,1,0
2,29,67.42741,0,1,0,100,0,1,994,0,1,1,3,0,1,0,437,487,1020,1376,1,0
2,24,75.94609,0,1,0,100,0,0,132,1,1,0,1,1,0,0,361,316,856,1428,1,0
2,38,51.75645,0,0,1,90,0,1,52,0,1,1,2,0,1,0,190,411,925,1319,1,0
0,16,109.31356,0,1,0,100,0,0,0,0,1,0,1,0,1,0,218,743,865,655,0,0
0,33,80.10065,0,1,1,100,0,1,308,0,1,0,3,0,1,0,328,458,549,655,0,0
0,34,79.485,0,1,0,100,0,0,0,0,1,0,1,0,0,0,444,412,898,592,0,0
1,39,76.62481,0,1,0,80,0,0,1267,0,1,1,1,0,1,0,169,326,712,664,0,0
0,33,72.11354,0,1,0,100,0,0,18,1,1,0,2,0,1,0,230,576,746,593,1,0
0,31,82.82155,0,1,0,100,0,1,0,1,1,0,1,1,1,1,261,353,623,488,1,1
3,42,77.36131,0,0,0,90,0,1,867,0,1,1,3,0,1,0,234,471,767,906,1,1
3,42,82.09619,0,1,0,100,0,0,0,0,1,0,1,0,1,0,274,527,872,562,1,0
3,37,72.68496,0,1,0,100,0,1,1025,0,1,1,2,0,1,1,218,267,732,691,1,0
0,33,77.1297,0,1,0,100,0,1,590,0,1,1,3,0,0,0,214,354,1252,586,1,0
2,43,73.48565,0,1,0,100,0,1,119,0,1,1,2,0,1,0,270,387,1672,1189,1,1
0,25,73.39054,0,0,0,100,0,1,354,0,0,1,3,0,0,0,444,383,988,876,0,0
1,44,78.21845,0,1,0,90,0,1,343,0,1,1,3,0,1,0,233,468,1115,985,1,1
0,40,68.31422,0,1,0,100,0,0,154,1,1,0,1,0,0,0,316,617,952,772,1,1
3,29,64.84054,0,1,0,79,0,0,0,1,1,1,1,0,1,0,225,977,673,497,0,0
0,29,79.7857,0,1,1,100,0,0,0,1,1,0,1,0,0,0,374,448,864,936,0,0
3,42,109.29427,0,1,1,100,0,1,162,0,1,1,3,0,0,0,179,314,889,2077,1,1
2,31,67.77878,0,0,0,100,0,0,3,1,0,1,3,0,1,1,417,1012,1373,540,1,1
0,39,66.56568,0,1,0,90,0,1,495,0,1,1,3,0,0,1,162,120,751,1246,1,1
3,33,62.79445,0,1,0,100,0,1,846,1,1,1,3,0,1,1,215,436,577,741,1,1
2,33,78.70546,0,0,1,100,0,0,131,1,1,0,1,0,1,1,247,551,731,1352,0,0
0,23,70.49066,0,1,0,100,0,0,0,0,1,0,1,0,1,0,221,320,839,1043,1,1
0,35,71.73028,0,0,1,100,0,1,400,0,1,1,2,0,1,0,403,301,1201,952,0,0
2,30,66.77679,0,1,0,100,0,1,639,0,1,1,1,1,1,0,361,589,725,1216,0,0
0,37,70.40285,0,1,0,100,0,0,12,0,0,0,1,0,1,0,483,356,997,969,0,0
1,42,74.02851,0,1,0,100,0,1,1095,0,1,1,3,0,0,0,227,518,865,895,0,0
0,36,80.74593,0,1,1,90,0,1,497,0,1,1,3,0,0,0,456,149,755,976,1,0
0,34,74.38448,0,0,0,100,0,1,139,0,0,1,3,0,0,1,173,188,1660,1049,1,1
3,40,79.78658,0,0,0,100,0,0,0,0,1,0,1,0,0,0,484,531,3037,535,1,1
0,31,67.74097,0,0,0,100,0,0,17,0,1,1,1,0,0,0,238,425,910,1543,1,1
0,38,80.92919,0,1,0,100,0,1,1440,0,1,1,3,1,1,0,410,692,555,979,1,0
0,32,78.49468,0,0,0,90,0,1,11,0,1,1,2,0,0,1,282,341,690,1254,1,0
1,35,57.56446,1,0,0,100,0,1,382,1,1,1,1,0,1,0,261,404,716,608,1,1
0,37,60.34367,0,0,0,100,0,1,205,1,1,0,3,0,0,0,230,374,734,733,1,1
3,37,65.93706,0,1,0,90,0,0,6,1,1,0,1,0,1,1,413,233,562,1165,1,1
3,23,78.05986,0,1,0,100,0,1,328,0,1,1,3,0,1,0,201,283,868,779,1,1
2,37,72.26649,0,0,1,100,0,1,723,1,0,0,1,0,0,1,265,455,719,809,1,1
0,25,79.99216,0,1,0,90,0,0,0,0,1,0,1,0,1,0,237,465,1760,1021,0,0
3,42,55.55413,0,1,0,100,0,0,1354,0,1,1,3,0,1,1,233,407,1368,1125,1,1
2,40,64.85194,0,1,0,90,0,0,0,0,1,0,1,0,1,0,285,579,1162,772,0,0
1,31,57.81528,0,1,0,100,0,0,13,1,1,0,1,0,1,1,440,357,701,574,1,1
1,34,69.86372,0,0,0,100,0,1,8,1,1,0,2,0,0,0,298,253,742,702,1,1
0,25,65.01948,0,1,0,90,0,1,0,1,1,0,1,0,1,0,488,350,603,1377,1,0
0,34,66.9124,0,1,0,100,0,1,325,0,1,1,3,0,0,1,364,405,1075,804,1,0
3,33,74.50375,0,1,0,90,1,1,88,0,1,1,3,0,1,0,299,342,478,545,1,0
2,35,60.70566,0,1,0,100,0,1,430,0,0,1,3,0,1,0,389,241,1675,713,0,0
3,32,102.41959,0,0,0,100,0,1,6,1,0,1,1,0,0,1,402,643,1552,1210,0,0
2,27,63.42462,0,1,0,90,0,1,167,0,1,1,3,1,1,0,207,321,1185,1804,1,1
0,35,77.07945,0,1,1,100,0,1,195,0,1,1,1,0,0,0,373,391,1179,2576,1,0
1,28,75.29002,0,0,0,90,0,0,0,1,1,0,1,0,1,1,416,280,4524,1398,0,0
3,27,79.37227,0,1,0,100,0,1,66,1,1,1,3,0,1,1,241,336,2374,673,0,0
2,43,56.99934,0,0,0,100,0,1,0,0,0,1,3,0,0,0,341,278,1168,854,1,0
0,41,66.44118,0,0,0,80,0,0,0,0,1,1,1,0,1,0,170,626,1021,686,0,0
0,24,64.92348,0,1,1,100,0,0,0,1,1,0,1,0,0,0,401,680,615,707,0,0
1,29,66.67171,0,0,0,100,0,1,386,1,1,1,2,0,0,1,320,418,793,1765,0,0
2,47,75.24087,0,1,0,90,0,1,363,0,1,1,3,0,1,0,365,322,767,797,0,0
3,42,94.73569,0,1,0,100,0,1,1336,0,1,1,3,0,1,0,473,447,967,1004,1,1
0,47,67.82635,0,1,0,90,0,1,1472,1,1,1,3,0,1,0,265,260,645,1195,1,1
0,28,67.79734,0,1,1,100,0,1,1357,0,1,1,2,0,0,1,177,402,1205,2663,1,1
0,31,66.99502,0,0,1,100,0,0,0,0,0,0,1,0,0,0,396,407,1678,491,0,0
0,40,70.68356,0,0,0,100,0,1,466,0,1,1,3,0,0,1,185,266,673,1183,1,0
0,26,74.80239,0,1,1,90,0,1,302,0,1,1,3,0,1,1,331,326,674,2027,0,0
3,38,65.45247,0,0,0,90,0,1,374,0,1,1,3,0,1,0,433,328,862,1144,0,0
0,26,79.70612,0,1,0,100,0,0,155,1,1,0,1,0,1,1,211,457,1622,1187,1,1
2,35,72.05056,0,1,1,90,0,0,0,0,1,1,3,0,0,1,321,574,919,1362,1,1
0,33,112.4031,0,0,0,90,0,0,0,0,1,0,1,1,0,0,370,441,569,1299,1,0
0,43,70.44189,0,1,0,100,0,0,0,0,1,0,1,0,1,0,298,550,1186,883,1,1
1,36,69.58717,0,1,0,100,0,1,119,0,1,1,3,0,0,0,378,414,2983,724,1,1
3,49,78.17556,0,1,0,90,0,1,323,0,1,1,2,0,0,1,313,458,719,1154,0,0
2,39,66.17723,0,1,0,100,1,1,520,0,1,1,3,0,1,1,205,343,1720,1289,1,0
2,43,78.28261,0,0,0,100,0,1,402,1,0,1,3,0,1,1,333,370,1048,788,1,1
3,26,60.82913,0,1,0,100,0,0,0,1,1,1,3,1,1,1,211,1008,718,910,1,0
0,35,70.21757,0,0,0,100,0,1,37,1,1,1,3,1,1,0,220,137,2055,680,1,0
3,24,75.76388,0,1,0,100,0,1,1055,1,1,1,3,0,1,0,264,449,698,718,0,0
0,32,69.87549,0,0,0,100,0,1,0,0,1,0,2,0,1,0,438,319,1093,415,1,1
3,34,66.66781,0,1,0,100,0,1,400,0,1,1,3,0,1,1,255,215,1042,1291,1,0
1,32,65.9283,0,0,0,100,0,1,111,1,1,1,3,0,1,1,275,338,1113,900,1,1
3,36,66.50266,0,1,0,100,0,1,853,1,1,0,1,0,0,0,309,407,1728,993,1,0
3,43,91.75566,0,1,0,100,0,0,1,0,1,0,1,0,1,0,335,568,901,988,1,1
2,41,72.28045,0,1,0,100,0,0,0,0,1,1,1,0,1,1,320,826,1215,697,1,0
3,27,59.27656,0,0,0,100,0,1,508,1,1,1,3,0,1,1,191,436,739,1229,1,0
3,39,70.52808,0,1,0,100,0,1,36,0,1,1,1,0,1,1,201,282,582,1365,0,0
1,24,75.69747,0,1,0,100,0,1,0,0,1,1,1,0,1,0,278,283,1153,614,0,0
0,25,122.30916,0,0,0,100,0,0,12,1,1,0,1,0,1,0,292,653,1858,482,0,0
0,25,71.22275,0,0,0,100,0,1,758,0,1,1,3,0,1,0,275,265,806,488,1,1
2,24,69.07606,0,0,0,100,0,1,144,0,1,0,1,0,1,0,320,558,718,965,0,0
1,30,66.21931,0,1,0,100,0,1,1484,0,1,1,3,0,0,0,425,649,907,895,1,1
1,27,93.04997,0,0,0,90,0,1,0,0,1,0,1,0,1,0,266,326,1799,1449,0,0
1,34,82.04028,0,1,0,90,0,1,816,0,1,1,3,1,1,0,211,278,841,778,1,1
0,33,81.38768,0,0,0,100,0,1,339,1,0,1,2,0,0,0,315,440,776,893,1,0
0,39,73.85262,0,1,0,90,0,1,1802,1,1,1,2,0,1,0,313,401,743,894,0,0
3,33,88.03181,1,1,0,100,1,1,1174,0,0,1,2,0,1,0,236,283,694,547,1,0
0,24,65.05165,0,0,0,100,0,1,178,0,0,1,3,0,0,1,287,439,472,1109,1,1
2,47,60.59007,1,1,0,100,1,1,333,0,1,1,2,0,1,0,481,671,646,1364,0,0
1,36,82.68853,0,0,0,90,0,1,466,0,1,1,2,0,0,0,212,523,698,996,1,1
3,21,89.74639,0,1,0,90,0,1,429,0,1,1,3,1,1,0,274,436,1293,642,1,0
1,30,72.21493,0,0,0,90,0,1,22,1,0,0,3,0,1,1,263,611,804,841,1,0
2,29,99.93155,0,0,0,100,0,0,0,0,1,0,1,0,1,0,270,459,652,1155,0,0
0,27,69.97952,0,1,0,100,0,1,315,1,1,1,2,0,1,0,357,388,710,1316,1,1
0,34,79.36888,0,0,0,90,0,1,677,0,1,1,3,0,0,0,249,304,617,582,1,0
2,27,54.66271,0,1,0,90,0,1,0,0,0,1,2,1,1,0,243,710,680,1719,1,0
2,23,68.93855,0,1,0,90,0,0,20,0,1,1,1,0,1,0,311,630,834,596,1,0
2,37,70.23675,0,0,0,100,0,1,41,0,1,0,2,0,0,0,297,433,1570,1330,0,0
0,34,75.05739,0,1,0,100,0,1,808,0,1,1,3,0,0,1,143,267,1534,864,1,1
2,23,73.81781,0,1,0,100,0,0,15,0,1,0,1,0,1,0,269,421,753,994,0,0
1,34,69.74028,0,1,0,90,0,0,0,1,1,1,1,0,1,1,416,480,1044,621,0,0
3,40,63.9603,0,1,0,90,0,1,796,0,1,1,3,0,0,0,329,476,845,933,1,0
3,36,110.94481,0,1,0,100,0,0,0,1,1,0,1,0,1,0,290,440,1060,1082,0,0
3,42,70.94279,0,1,0,90,0,1,778,0,1,1,3,0,1,0,433,449,1156,556,1,1
0,30,76.34283,0,1,0,100,0,1,1645,1,0,1,2,1,1,0,244,423,955,714,1,1
3,25,65.13198,0,1,0,90,0,1,578,0,1,1,3,0,1,0,233,484,1349,772,1,1
1,38,68.1484,0,1,0,100,0,1,0,0,0,1,3,0,1,0,238,482,519,1279,1,0
3,33,73.06512,0,1,0,100,0,1,0,0,1,1,3,1,1,0,346,216,728,933,1,0
1,28,84.58549,0,0,0,90,0,0,0,1,0,0,1,0,1,0,674,492,632,559,1,1
3,36,79.16639,0,0,0,90,0,0,0,0,1,0,1,0,1,1,249,328,643,683,0,0
0,37,55.53816,0,1,0,90,0,1,386,0,1,1,2,0,1,1,304,322,787,853,1,0
3,38,71.09963,0,1,0,90,0,1,144,0,1,1,3,0,1,1,467,237,595,722,0,0
3,32,82.15225,0,1,0,100,0,0,0,0,1,0,1,0,1,1,326,485,782,1498,1,1
1,32,73.10573,0,1,0,100,0,1,469,1,1,1,1,0,1,0,222,543,1147,636,1,0
0,27,74.05177,0,0,0,100,0,1,214,0,1,1,3,0,0,1,384,329,980,1044,1,0
0,33,87.4261,0,1,0,100,0,1,453,0,1,1,3,0,1,1,332,262,1494,593,1,0
0,23,82.1884,0,1,0,100,0,1,483,0,1,1,3,0,1,0,277,198,668,661,0,0
1,31,75.03225,0,0,0,90,0,0,0,1,1,0,1,0,1,0,225,621,865,860,0,0
0,36,88.53702,0,1,0,100,0,0,1636,0,1,1,1,0,0,0,433,260,642,1006,1,1
1,28,70.55528,0,1,0,81,0,1,977,0,1,1,3,0,1,1,387,359,970,922,1,0
0,35,64.3792,0,0,0,100,0,1,792,1,1,1,1,0,1,0,239,314,703,657,1,1
3,44,73.19183,0,1,0,81,0,1,346,0,1,1,3,0,1,0,435,318,1471,513,1,0
3,29,78.20954,0,1,0,100,0,1,230,1,1,1,3,0,1,0,433,374,1771,807,0,0
3,39,71.52052,0,1,0,90,0,1,381,0,1,1,2,0,1,0,216,340,720,2177,1,1
0,25,72.35743,0,0,0,100,0,0,736,1,1,1,3,0,1,0,458,300,745,1151,1,0
0,35,81.80905,0,1,0,90,1,1,849,1,1,1,2,0,1,1,347,310,712,1595,1,0
0,22,77.92933,0,0,0,100,0,1,0,0,0,1,1,0,0,0,466,482,2316,593,0,0
0,41,76.60685,0,0,0,100,0,1,1410,1,0,1,3,0,0,1,254,673,563,691,1,1
1,32,100.08853,0,0,0,100,0,0,0,0,1,0,1,0,1,1,442,559,594,423,0,0
1,38,88.08811,1,1,0,90,0,1,1290,0,1,1,3,0,1,1,187,494,983,693,1,1
0,40,75.57212,0,1,1,100,0,1,97,0,1,1,3,0,0,1,420,278,1667,558,1,1
2,31,60.94273,0,0,0,90,0,1,18,1,1,0,2,0,1,1,554,387,755,1493,0,0
2,35,65.01393,0,1,0,100,0,0,394,0,1,0,1,0,1,1,482,357,544,1045,0,0
0,29,80.91714,0,1,0,100,0,1,625,1,1,0,2,0,1,1,394,343,624,773,1,1
3,33,70.51064,0,1,0,100,0,1,848,1,1,1,2,0,1,1,267,418,654,744,0,0
3,35,66.5887,1,1,0,100,0,1,610,0,1,1,3,0,1,0,360,399,685,844,0,0
3,30,80.52306,0,0,0,100,0,0,13,0,1,0,1,0,1,0,481,407,739,840,0,0
3,29,81.41833,0,1,0,100,0,0,0,0,0,0,1,0,1,0,375,736,692,452,0,0
2,12,73.63085,0,1,0,100,0,0,0,0,1,0,1,0,1,0,427,441,1343,961,0,0
3,34,76.17617,0,1,0,90,0,1,773,0,1,1,3,0,1,0,144,221,574,746,1,1
2,26,60.34215,0,1,0,100,0,1,95,1,1,1,3,0,1,1,253,318,560,984,0,0
3,40,62.80798,0,1,0,100,0,1,4,0,1,0,1,0,1,0,370,611,2151,1569,1,0
3,28,65.94731,0,1,0,100,0,1,375,0,1,1,3,0,1,0,377,463,785,700,0,0
3,27,69.0058,0,1,0,100,0,1,82,0,1,1,3,0,1,0,455,626,1991,962,1,1
0,30,78.78632,0,1,0,90,0,1,4,0,1,1,1,0,1,0,320,315,1802,635,1,0
1,44,74.79038,0,1,1,90,0,1,930,0,1,1,3,0,1,0,455,370,1511,912,0,0
0,30,84.78226,0,1,0,100,0,0,12,0,1,1,3,0,1,1,376,417,748,1126,1,1
3,30,79.9583,1,0,0,100,0,1,771,1,1,1,3,0,1,0,457,322,1233,990,0,0
2,27,95.10668,1,0,0,100,0,0,0,1,1,1,2,0,0,0,219,568,1497,1012,1,0
0,38,72.03288,0,1,0,91,0,1,756,1,1,1,2,0,0,0,419,293,589,963,0,0
2,34,73.72874,0,1,0,100,0,1,342,0,1,1,3,0,1,0,183,176,1741,817,1,0
1,44,83.75688,0,1,0,100,0,0,12,0,1,0,2,0,1,0,198,617,524,1024,0,0
0,34,80.53185,0,1,1,90,0,1,6,1,0,0,1,0,1,0,467,315,1292,959,1,1
0,33,70.18876,0,0,0,90,0,0,6,1,1,0,1,0,1,0,288,501,732,1530,0,0
1,33,68.08166,0,1,0,90,0,1,443,0,1,1,2,0,1,1,454,846,926,920,1,1
0,24,84.16721,0,1,0,90,0,1,376,0,1,1,1,0,1,0,259,369,895,765,1,1
0,29,69.90291,0,0,0,100,0,1,85,0,1,1,3,0,0,0,240,366,796,930,1,0
3,43,69.57717,0,1,1,100,0,1,778,0,1,1,3,0,0,0,385,702,940,1327,1,0
1,31,86.77122,1,1,0,90,0,1,929,1,0,1,3,0,1,1,169,333,811,1330,1,0
0,37,78.98398,0,1,0,90,0,1,791,0,1,1,1,1,1,0,227,245,1678,625,1,1
2,35,71.56062,0,0,0,100,0,0,0,1,1,0,1,0,1,0,309,576,599,657,0,0
2,36,131.829,0,1,0,100,0,1,871,0,1,1,3,0,1,0,174,271,1964,1070,1,1
0,42,71.23369,0,0,0,90,0,0,145,0,1,0,1,0,1,0,404,273,731,509,0,0
0,38,81.82167,0,1,1,100,0,1,18,0,1,0,3,0,1,1,300,380,760,734,1,1
0,35,75.1769,0,1,0,100,0,1,466,0,1,1,3,0,0,1,389,229,1332,803,0,0
1,54,69.35968,0,1,0,90,0,1,832,1,1,1,3,0,0,0,336,268,1068,1290,1,0
0,29,67.44777,0,0,0,100,0,0,4,1,1,0,1,0,1,0,372,642,1143,1709,0,0
0,38,73.16928,0,1,0,100,0,1,941,0,1,1,3,0,0,1,341,595,1605,999,1,0
1,44,79.2771,0,1,1,90,0,1,1093,0,1,1,3,0,1,0,303,316,688,879,1,1
3,27,89.48278,0,1,0,90,0,1,835,0,1,1,2,1,1,1,350,329,1081,564,0,0
3,32,72.00805,0,1,0,90,0,1,1132,0,1,1,2,0,1,1,287,459,899,811,1,0
0,40,64.25491,0,0,0,90,0,0,428,0,1,1,1,0,0,0,406,278,653,667,0,0
1,37,106.61118,0,1,0,100,0,0,24,1,1,0,1,0,1,0,295,340,1051,684,0,0
0,31,70.91835,0,1,0,100,0,1,1514,0,1,1,3,0,1,1,214,324,717,646,1,1
2,30,69.71277,0,0,0,100,0,1,238,0,1,1,3,0,1,0,183,389,1213,932,1,1
3,27,80.1324,0,1,1,90,0,1,0,1,1,1,1,0,1,1,251,465,1683,957,0,0
0,28,76.50428,0,1,1,100,0,0,0,0,1,0,1,0,0,1,224,600,1408,672,0,0
1,37,83.33368,0,1,0,100,1,1,1061,1,0,1,3,0,1,0,243,479,951,668,1,0
2,45,70.07252,0,1,0,90,0,1,859,0,1,1,1,0,1,0,397,697,667,846,0,0
1,28,64.20554,0,1,0,100,0,1,265,1,1,1,3,0,1,1,154,451,858,764,1,1
0,37,94.47891,0,1,0,100,0,1,368,0,1,1,3,0,1,1,177,565,883,1206,0,0
0,36,93.74928,0,1,0,90,0,1,1533,0,1,1,3,0,1,1,426,274,1047,1214,1,1
0,33,68.4714,0,0,0,100,0,0,0,1,0,0,1,0,0,0,460,451,1225,1069,0,0
0,28,71.54532,0,0,0,100,0,0,579,0,1,1,3,0,0,0,170,439,1184,551,0,0
0,34,66.20602,0,0,0,100,0,1,298,1,1,1,1,0,0,0,594,359,756,934,1,1
0,33,77.44993,0,1,0,90,0,0,170,0,1,0,1,0,1,0,413,446,791,414,0,0
0,40,81.14214,0,1,0,100,0,1,1226,0,1,1,3,0,0,0,401,293,1042,1149,0,0
0,36,79.25182,0,1,0,90,0,1,146,0,1,1,3,0,1,0,225,224,568,771,1,0
3,27,86.08146,0,1,0,90,0,1,148,0,1,1,3,1,1,1,199,359,686,487,0,0
2,33,75.36412,0,1,0,100,0,1,140,0,1,1,2,0,1,0,265,297,1594,528,1,1
3,31,73.55851,0,1,0,100,0,1,161,0,0,0,1,0,1,0,400,495,1126,1385,1,0
2,37,75.49881,0,1,0,90,0,1,1017,0,1,1,3,0,1,1,223,331,1715,851,0,0
3,38,77.13851,0,1,0,100,0,0,7,0,1,0,1,0,1,0,327,497,793,845,1,1
0,31,59.86397,0,1,0,100,0,1,10,1,1,1,2,0,0,1,253,274,1454,636,1,1
3,33,72.2746,0,1,0,90,0,1,128,0,1,1,2,0,1,0,236,462,740,1170,1,0
3,37,67.7952,0,1,0,100,0,1,1736,0,1,1,3,0,1,1,424,266,791,931,1,1
3,28,68.79093,0,0,0,90,0,1,6,1,1,1,2,0,1,0,439,348,1000,1178,1,0
2,50,80.96554,0,1,0,100,0,0,0,1,1,0,1,0,1,0,273,531,741,1495,1,1
3,42,79.82366,0,0,0,100,1,0,7,0,1,0,2,0,1,1,360,358,2473,1020,1,1
0,41,79.89218,0,1,1,90,0,1,374,0,0,1,2,0,0,1,380,379,1731,670,0,0
2,43,69.28174,0,0,1,100,0,1,567,1,1,1,3,0,1,1,207,168,967,919,1,1
1,35,100.85207,0,1,0,90,0,1,783,0,1,1,3,0,1,1,244,392,840,676,0,0
1,43,85.28379,0,0,0,100,0,1,421,0,1,1,3,0,1,0,266,314,1855,988,1,0
2,40,70.73697,0,1,0,100,0,1,193,0,1,1,2,0,1,0,444,381,1246,768,1,0
2,35,108.97892,0,1,0,100,0,0,0,0,1,0,1,0,1,0,476,470,546,737,0,0
0,36,65.59212,0,0,0,100,0,1,131,0,0,1,3,0,0,0,257,330,1029,504,1,0
1,26,73.52616,0,0,0,100,0,1,1,1,1,1,1,0,1,1,515,417,691,636,0,0
0,31,79.60334,0,0,1,100,0,1,344,1,0,1,3,0,0,0,179,268,1708,984,1,1
2,32,71.35644,0,1,0,100,0,1,298,0,1,1,3,0,0,0,245,632,1664,812,1,1
0,26,82.88594,0,1,0,100,0,0,0,0,1,0,1,0,1,1,216,249,854,878,1,1
0,32,91.74896,0,1,0,100,0,0,8,1,1,0,1,0,1,0,276,570,533,999,0,0
1,39,71.37613,0,1,0,90,0,1,19,0,1,1,2,1,1,0,372,718,438,1093,0,0
0,34,75.50917,0,1,0,100,0,1,884,0,1,1,2,0,0,0,286,219,1175,1021,1,0
0,43,63.62363,0,1,0,100,0,1,963,0,1,1,2,0,0,0,237,359,2142,906,1,0
3,28,64.03822,0,0,0,100,0,0,0,1,0,0,1,0,1,1,375,548,705,980,0,0
0,41,66.95664,1,1,0,100,0,1,101,0,1,1,2,0,0,1,345,365,3775,576,1,1
0,32,79.17749,0,1,0,79,0,1,700,1,1,1,2,0,0,1,238,226,674,846,1,1
3,33,67.62214,0,1,0,90,0,1,298,0,1,1,3,0,1,0,301,422,636,703,1,1
2,48,56.50089,0,0,0,90,0,1,0,0,1,1,2,0,0,1,335,265,795,728,1,1
3,31,65.64309,0,0,0,100,0,1,496,0,1,0,2,0,1,0,444,415,755,1011,1,1
0,35,78.17711,0,1,0,100,0,1,834,0,1,1,3,0,1,0,190,243,2134,410,1,1
2,53,71.71655,0,1,0,100,0,1,0,0,1,0,1,0,1,0,479,491,665,600,0,0
0,34,79.50016,0,1,0,90,0,1,725,0,1,1,3,0,0,1,162,231,680,710,1,0
3,46,79.17443,0,1,1,100,1,0,0,0,1,0,1,0,1,0,216,834,3296,1407,0,0
1,34,72.47867,0,0,0,90,0,1,209,0,1,1,2,0,1,1,174,493,755,1484,1,0
0,37,75.98509,0,1,0,100,0,1,317,0,1,1,2,0,1,0,191,452,531,761,1,0
1,35,67.84434,0,1,0,100,0,0,15,1,1,1,1,0,1,0,391,514,656,1362,1,1
2,40,73.0294,0,1,1,90,0,1,479,0,1,0,2,0,1,0,460,463,650,538,1,0
0,24,76.086,0,0,0,91,0,1,891,0,0,1,2,0,0,1,334,338,846,1019,0,0
3,45,81.93024,0,1,0,100,0,0,0,0,1,0,1,0,1,0,430,286,941,603,0,0
2,35,73.46773,0,1,0,90,0,1,324,0,1,1,3,0,0,0,307,270,738,630,1,1
3,28,67.83355,0,1,0,100,0,0,0,0,1,0,1,0,1,1,412,497,2701,1120,1,0
2,32,63.98946,0,1,0,100,0,0,24,0,1,0,1,0,1,1,444,430,676,556,1,1
0,35,68.68735,0,0,0,100,0,1,402,1,1,1,3,0,1,0,328,221,845,713,1,0
2,36,68.13799,0,1,0,90,0,0,246,0,1,0,1,0,0,1,238,378,843,1740,0,0
2,29,65.63691,0,1,0,100,0,1,208,1,1,1,3,0,0,0,380,245,885,1040,1,0
0,29,65.05967,0,0,0,100,0,1,1386,1,1,1,3,0,0,1,206,358,677,965,1,0
2,37,73.93335,0,0,0,100,0,1,229,0,0,1,2,1,0,1,247,248,1816,1006,1,1
0,35,68.00802,0,1,0,100,0,1,109,0,1,1,3,0,0,1,263,355,845,1682,1,0
1,45,79.36326,0,1,1,90,0,1,428,0,1,1,3,0,1,0,285,326,900,998,1,1
2,38,75.8756,0,0,0,90,0,1,776,1,0,1,3,0,1,0,177,461,706,1014,0,0
